Material	Descripción del material
21032049	SIERRA BI-METAL 12 IN 24 DIENTES BELLOTA
21032050	ESPATULA RIGIDA 3 IMACASA 11202 IMACASA
21032051	NIVEL ALUMINIO 3 BURBUJAS 12 IN STANLEY
21032052	REMACHADORA TRABAJO PESADO 4 BOQ STANLEY
21032053	REMACHADORA CABEZA GIRATO 4 BOQU STANLEY
21032054	CAJA METAL PARA HERRAMIENTAS 16X8X7¾ IN
21032055	ORGANIZADOR PLÁST 38CM 21 COMPART TACTIX
21032056	ORGANIZADOR PLAST 39 GAVET TACTIX 320636
21032057	BOLSA PARA HERRAMIENTAS 16 IN TACTIX
21032058	MOCHILA LAPTOP PORTA HERRAMIENTA STANLEY
21032059	DESTORNILLADOR PLANO 1/8X3 TACTIX 205001
21032060	JUEGO DESTORNILLADOR V 1000 6P TACTIX
21032061	DESTORNILLADOR MULTIUSOS 6 VIAS STANLEY
21032062	ESMERILADORA 4½ IN 700W 11000 RPM DEWALT
21032063	HTA ROTAT 4000 1.6A 35000RPM 36PZ DREMEL
21032064	COMPROBANTE:RETENCION;DON;POLLO;1001370
21032065	FORMULARIO:PROCESO;INTERNO;CART;8.5X11CM
21032080	STICKER:DIALES;ADHESIVO;LAMINADO;5.5X5.5
21032082	HIELERA 34 QT AZUL RUBBERMAID
21032083	CAJA ORGANIZADORA 56L AZL AR013851-ATT-0
21032084	TAZA 414 ML *2014
21032085	PINZA BLOQ ERGO AC INX 0.8MM SILICON 9''
21032086	CUCHARA PAPA FRANCESA FFR8 MANGO DERECHO
21032087	CEPILLO 25 PLG TIPO GUSANO WINCO BR-25
21032088	ESPATULA DE NYLON COLOR NEGRO 25125 100
21032089	COLADOR MANUAL 4" A. INOX. NORPRO / 2124
21032093	DESENGRASANTE 13.0006 UNIVERSAL TRIPLE-D
21032094	DESENGRASANTE 13.0065 ACTI-BRITE ROJO BI
21032095	DESENGRASANTE 13.0005 PRO-RED+ GALON DIV
21032096	FUNDENTE 13.0011 FLUX P/SOLDAR 4OZ QFX-4
21032097	CANALETA:20X12.5;LEGRAN;LG638129
21032098	CANALETA:MINI;PLÁST;32X16MM;1;CANAL;LEGR
21032099	GRAPA:BLANCA;PLASTIC;5MM;LEGRAND;LG31554
21032108	TALONARIO:PROV;DESPACHO;T/CARTA;3;COPIAS
21032110	ESPATULA 13" MULTIUS PLAST NORPRO 1725DC
21032111	CUBETA LIMPIEZA 6 L C/VERDE WINCO PPL-6G
21032112	PORTABANDEJAS INOX 40 CM X 60 CM
21032113	PORTATIMERS  INOX 40 CM
21032114	PORTA-ESPUMERO INOX 20 CM X 40CM X 8 CM
21032115	SONDA INMERSION COOPER‐ATKINS 50416‐K
21032120	CINTA:DE;AISLAR;FIBRA;VIDRIO;1/2X66P;3M
21032121	CINTA:DE;AISLAR;SUPER;33;3/4;X;66P;3M
21032122	AMPERÍMETRO:DIGITAL;400;AMP;MILWAUKEE
21032123	DUCTO:EXTRAC;VENT;CABEZ;4X8";LAMAFL;266W
21032124	ESCALERA:DE;8;PIES;2;BANDAS;DE;175KG
21032125	ESCALERA:FIBR;VIDRIO;8PIES;2BANDAS;135KG
21032130	BATERIA:PARA;RADIO;DTR;720;MOTOROLA
21032135	BANCO:ALMACENAJE;CAMBRO;DRS360480;S
21032136	BROCA:CONCRETO;3/8X6";MILWAUKEE;48208921
21032137	BROCA:CONCRETO;1/4X4";MILWAUKEE;48208910
21032138	LUBRICANTE:EN;SPRAY;11;ONZ;WD-40;52011
21032139	SILICON:TRANSPARENTE;F101;300ML;SISTA
21032140	LLAVES:DE;11/4
21032141	LLAVES:DE;3/4
21032142	ROLLOS:DE;TEFLÓN;1
21032143	PERMATEX:WIPE;PARA;SISTEMA;DE;GAS
21032144	BROCA:ACERO;RAPIDO;TITANIO
21032145	BROCA:ACERO;RAPIDO;TITANIO;I;3/16;PLG
21032146	BROCA:ACERO;RAPIDO;TITANIO;M;1/4;PLG
21032147	BROCA:ACERO;RAPIDO;TITANIO;O;5/16;PLG
21032155	JERINGA:3ML;PARA;ACIDO;GRABADOR
21032157	BATERIA:PARA;RADIO;DTR;620;MOTOROLA
21032160	SILICON:BLANCO;F101;300ML;SISTA;BAÑO/COC
21032161	CINCHO:PLAST;NEGRO;11";25PZ;50LB;6525919
21032162	CINCHO:PLAST;CLEAR;11";25PZ;50LB;6511281
21032163	ABRAZADERA:DE;PRESION;ACERO;INOXIDABL;1"
21032164	SILICON:NEGRO;300ML;F109;SISTA;1857715
21032165	AVELLANADOR:1/2";TACTIX;416143
21032166	BROCA:PARA;VIDRIO;3/8";IRWIN;IW2152;;PZA
21032167	TEFLON:1/2"X6.6M;FLUIDMASTER;7121M-038PZ
21032168	ORGANIZADOR:PARED;METAL;MANGUERA;150PIES
21032169	ASPIRADORA:5GLN;4HP;ACE;INOX;SEC;STANLEY
21032173	RODILLO:CLASICO;EXTRA;1;1/4;H963054;COME
21032174	BROCHA:PLUS;3;PLG;;H023909;COMEX
21032175	PEGAMENTO:BCO;ARTESANAL;4;LT;0468201;UNI
21032176	PEGAMENTO:BCO;ARTESANAL;1;LT;0668201;UNI
21032177	PLASTIPROTECTOR:RUDO;BIO;10;M;H024392
21032178	ESPATULA:EXITO;RIGIDA;M.MAD;3;H023659
21032179	LIJA:DE;AGUA;FANDELI;220;LF02202
21032182	FILTRO:AGUA:PURAMATIC;ALTO;FLUJO;5;ETAP
21032185	ESCALERA:DE;3;PELDAÑOS;1.26;MTS;INOX
21032186	ANTIBACTERIAL NEXA ADVANCED 4X1250 ML
21032187	BASURERO:15;LT;BEIGE/MARFIL
21032190	LIJA:DE;AGUA;FANDELI;300
21032193	SONDA:COOPER;ATKINS;50306K
21032195	COLADOR CHINO 12" ALUMINIO
21032204	BOLSA:NEGRA;TELA;IMPERMEABLE;11.5X12.5X
21032211	OLLA DE ALUMINIO 34 LT
21032213	CUBETA PLASTICA AMARILLA 5 GLN
21032214	CUCHARON PLANO ROJO 2 ONZ
21032217	RECIPIENTE CUADRADO C/ TAPA 8 LTS.POLICA
21032218	RECIPIENTE CUADRADO C/ TAPA 12 LTS.POLIC
21032222	CAJA PLASTICA OSCURA 12 GAL
21032223	CAJA PLASTICA OSCURA 27 GAL
21032228	SANITIZANTE NEXA ADVANCED HAND 41X1200ML
21032229	BOLEADOR DE ACERO # 70
21032230	DOSIFICADOR:ACERO;INOX;PARA;QUESO
21032233	ARO:DE;PIZZA;INOX;34X40.5CM
21032235	LAMINA:PORTA;RODILLO;Y;SEMOLA;83X47CM
21032237	PORTA:RODILLO;40X20X10CM
21032238	PARRILLA:DEL;CONGELADOR;28X6X84.5CM
21032239	TAZA:MEDIDORA;P/QUESO;ACE;INOX;4"X4.5CM
21032240	PORTA:SEMOLA;VARILLA;1/4";27CM
21032242	RIEL:PARA;PASTELITOS;2;NIVELES;12X3X60CM
21032247	TERMO:TF;MEC;5.7LT;AI;44050.0250;BUNN
21032249	MAMPARA:PARA;BARRA;DE;BEBIDAS;POSTMIX
21032250	BANDEJA:FULL;2;1/2";ACERO;INOX;WINCO
21032256	PERMATEX:SISTEMA;GAS;PROPANO
21032258	ALFOMBRA:INGRESO;RESTAURANTES;2023
21032266	CANASTA:MESA;EMPANIZADO;1/8;27X42X12.5CM
21032270	BOLA:DE;WIPE;1;LB;BLANCO
21032271	CANASTA:DE;MAGNESOL;0.21X0.18X0.18CM
21032272	TRAMPA:DE;GRASA;0.36;X;0.36;X;0.26;CMTS
21032273	ESCALERA:ALUMIN;2;BAND;12P;TIPO;II;30938
21032274	BROCA:COBALTO;3/16";MILWAU;4889174;71849
21032275	BROCA:COBALTO;1/8";MILWAU;48892305;71845
21032276	BROCA:COBALTO;5/32";MILWAU;4889230;71847
21032277	BROCA:COBALTO;1/4";MILWAU;48892313;71851
21032278	DISCO:4.1/2"X1/16"X7/8";49944500;106308
21032279	DISCO:LIJA;GRANO;60;4.1/2";DW8308;46713
21032280	DISCO:CORTAR;9X5/64"X7/8";WA46TBF;130575
21032281	BROCA:P/VIDRIO;3/8";TACTIX;416229;125588
21032282	BROCA:TITANIO;3/16";MILWA;48892209;71834
21032283	BROCA:CONCRETO;5/16X4X6;48209116;163275
21032284	PISTOLA:METAL;GILMOUR;1/2";P/MANGUERA
21032285	SUPERTROQUET:DE;CARGA;CON;PLATAFORMA
21032286	HIDROLAVADORA:ELECTRICA;2000;PSI
21032291	HIDROLAVADORA:43736;1200PSI;2HP;120V
21032292	HIDROLAVADORA:112797;1700PSI;120V
21032293	HIDROLAVADORA:130893;1800PSI;120V
21032294	HIDROLAVADORA:408060;1600PSI;1.4HP;120V
21032295	ASPIRADORA:106088;KARCHER;10GAL;INOX
21032296	ASPIRADORA:412983;MULTIFUNCIONAL;4GAL
21032297	ASPIRADORA:109330;KARCHER;4GAL;120V
21032298	ASPIRADORA:72379;KARCHER;KNT;48/1
21032299	ASPIRADORA:59222;6;GAL;RIDGID
21032300	VACUOMETRO:14.0053;DIGITAL;UVG
21032302	ESPATULA:MULTIU;176142;PINTOR;14-1;ESP14
21032304	LLAVE:PLOMERO;8944;11";STANLEY;448
21032305	LLAVE:TUBO;83363;12";TACTIX;335005
21032306	ALICATES:JUEG;5894;2;PZ;STANLEY;90-163LA
21032307	GANCHOS:PARA;COLGAR;0.8;CMTS
21032312	CANASTA:PLASTICA;39X49.5;CM
21032315	ROLLO:DE;CINTA;SÚPER;33
21032316	ROLLO:DE;TEFLON;DE;3/4"
21032317	SIERRA:SANDFLEX;1812;REPUESTO
21032318	PEGAMENTO:TANGIT;PVC;OCTAVO
21032320	SANGUASERA:0.63;X;0.60;X;0.15;ACERO;INOX
21032321	TAPADERA:DRENAJE;ACERO;INOX;0.56X0.56CM
21032331	HERMËTICO:PLÁSTICO;DE;4;LT
21032337	REJILLA:1026860;DE;AC;AIRE;FRESCO
21032339	TANQUE:AGUA;TRICAPA;450L;EUREK
21032346	CINTA:PRINTRONIX;LLC;CAJA;DE;6
21032367	CALCULADORA DE BOLSILLO CASIO HL-815L-BK
21032368	CUCHILLA MEDIANA NO.5
21032369	DESINFECTANTE PARA PISOS OLIMPO LAVANDA
21032382	LAMPARA DE ESCRITORIO LED NEGRA DE-9061
21032383	ALCOHOL GEL BACTO GEL
21032385	BROCHA:CERDA;2";P;PLUS
21032389	REFRACTÓMETRO:DE;MESA;OPTI;DIGITAL;3801
21032402	DISPENSADOR:DE;PAPEL;INOX;B2890
21032410	DISPENSADOR DE TAPE 3M C-38, SCOTCH
21032411	FASTENER PLASTICOS M.FAST (CAJA 50U)
21032412	FLUORESCENTE DELI VERDE
21032413	FLUORESCENTE FABER CASTELL CELESTE
21032414	JABON EN BOLA AMBAR 260 GR/BOLA (3 U)
21032415	LIBRETA DE TAQUIGRAFIA ESPIRAL 60 HOJAS
21032416	MARCADOR P/DETECTAR BILLETES FALSOS
21032417	MARCADOR PIZARRON PILOT NEGRO RECARGABLE
21032418	SACAGRAPAS
21032419	SACAPUNTAS METAL 1 AGUJERO
21032420	NUMERACION FREIDORAS 30  X 18 CM
21032421	TAZAS DE MEDIDA INOX 304
21032422	STICKER NUMERACION FREIDORAS
21032423	ROLLO 16080 P/ CALC 57X60 C/6
21032424	PAPEL 6369 OFFICE DEPOT CTA C/500H
21032425	REGISTRADOR 21552 OFFICE DEPOT TC PZ.
21032426	LAPIZ 7257 ADHESIVO PRITT 10 GR
21032427	SUJETA DOCUMENTO 27412 1-1/4 32MM12P
21032428	GRAPA 41924 B8 BOSTITCH C/5000
21032429	MARCADOR 9287 ES TERBROOK NEGRO BLISTER
21032430	PORTECTORES 22748 DE HOJA OD CTA200P
21032431	SOBRE 36151 PAPEL OF DEPOT ENGOMADO C/50
21032432	FOLDERCTA 56671 SIGNATURE BITONO ROJ 50P
21032433	PEGAMENTO 45866 BLANCO RESISTOL 850 1 KG
21032434	CINTA 6470 ADHESIVA SCOTCH 550 18MMX33M
21032435	FOLDER 39628 T/C OFFICE DEPOT MANILA 100
21032436	CAJA TRANSPARENTE DE 19.5 LTS
21032437	CAJA TRANSPARENTE DE 37.5 LITROS
21032438	MARCATEXTOS 192 AZOR VISION PLUS 5PZAS
21032439	PLUMA 73194 AZOR PINPOINT NEGRO 3PZAS
21032440	REGISTRADOR 65027 KYMA TC AZUL ECOL
21032441	REGISTRADOR 65028 KYMA TC VERDE ECOL
21032442	REGISTRADOR 65029 KYMA TC ROJO ECOL
21032443	GRAPADORA 23041 TIRA COMP, QUITAGRAPAS
21032444	COLADOR PLASTICO/ GRANJERITOS
21032445	PICHEL PLASTICO/ 1 LITRO
21032446	CAJA EXPOSITORA DE SALSAS 21 X 14 CM
21032447	TERMOMETRO DIGITAL DE FRENTE
21032448	ETIQUETA PARA GEL ANTIBACTERIAL CHIAPAS
21032449	COLADOR ACERO INOX 3"X13.3CM LARGO TOTAL
21032450	MAMPARA ACRILICO 90X80CM ACERO INOX 3ML
21032451	PICHEL DE ACERO DECANTADOR DE 64 ONZAS
21032452	PICHEL DE ALUMINIO PARA FILTRAR
21032453	PICHEL DE ACERO INOXIDABLE PARA FILTAR
21032454	PAPEL 61324 OFIXPRES (10 RESMAS T/C)
21032455	PAPEL STOCK PARA PEDIDOS
21032456	SELLO DE MADERA PARA CAMPERO
21032457	MEDICINA ZINC 50 MG
21032458	MEDICINA LORATADINA 10 MG
21032459	MEDICINA AZITROMICINA 500 MG
21032460	MOCHILAS PARA CARRETAS PG
21032461	BANDERITAS 60865 POST-IT COL POST60P
21032462	RELOJ DE PARED REDONDO 10
21032463	GAFETE TAMAÑO 8,5 CM X 5,5 CM
21032464	PORTAGAFETE HORIZONTAL CON CIERRE
21032465	CORDON PARA PORTAGAFETE PRENSA DE METAL
21032466	CAJA TRANSPARENTE DE 30 LITROS
21032467	BASURERO SIN TAPA GRIS DE 44GAL WINCO
21032468	TAPA BASURERO PLASTICO GRIS 44GAL WINCO
21032469	CENTRO DE MESA PAP.APOL.DIM.13.5X42.5CMS
21032470	CAJA TRANSPARANTE CON TAPA 48.5X30X5 CM
21032471	ESTAÑON PLASTICO 55GLS CON TAPA HERMETIC
21032472	BOLIG PIN.7M AZUL B/3
21032473	CAJA 56833 OFFICE REGISTR
21032474	ETIQ LASER 64417 INKJET 4X3 1/3 P600
21032475	NOTAS OD 3X3 NEON C/500
21032476	ALMOHADILLA ARLINE # 0
21032477	ARCHIVADOR AMPO
21032478	BOLSAS MANILA 6X9 1/2 CARTA
21032479	BOLSAS MANILA T/CARTA  9X12
21032480	CAJAS DE FASTENER
21032481	CALCULADORA STUDMARK DC-120
21032482	CLICK P/CARNET
21032483	CUCHILLA GRANDE STUDMARK
21032484	DISPENSADOR P/CINTA DE 2" STUDMARK
21032485	ENGRAPADORA STUDMARK TIRA COMPLETA
21032486	FOLDER T/CARTA
21032487	FUNDA PLASTICA PORTA-CARNET
21032488	MARCADOR FLUORESCENTE ARTLINE 660 NARANJ
21032489	ORDE BOOK 144 PAGINAS
21032490	PERFORADOR P/ 25 HOJAS
21032491	RESMAS DE PAPEL BOND T/CARTA
21032492	RESMAS DE PAPEL BOND T/OFICIO
21032493	TABLA DE MADERA CON CLIP
21032494	TINTA PARA ALMUHADILLA AZUL
21032495	CAJA CLICK CON TAPA 16LTS 46X28.5X21 CM
21032496	SET DE 2 CAJA JUMBO 32 LTS 47X37X32
21032497	RASQUETA ACERO MANGO PLASTICO 4-10cms
21032498	RACK DE PARED BRACKET 7U 12 PULGADAS
21032499	BANDEJAS 1U RACK 250MM VENTILADA
21032500	PINZA DE ACERO 12 PULGADA X FUERTE WINCO
21032501	PLANCHAS GOMOSAS
21032502	TRAMPAS DESNUCADORAS
21032503	CEBADEROS
21032504	LAMINA GOMOSA
21032505	CANDADO MONO BLOCK MARCA UNITY 74 MM
21032506	FLOOR STICKER DISTANCIA 25 X 25
21032507	ESTATICO 1X1 M
21032508	CAJON DE FILTRADO 12"X20.5"X14"
21032509	BANDEJA ALUMNIO PANADERIA 16X22 PULG.
21032510	BOLSA ECOLOGICA  36.5
21032511	LAPIZ 62589 BICOLOR B/4
21032512	MARCO PORTA RETRATO PARED
21032513	TABLA C/PRENSA ACRILICA TAMAÑO CARTA
21032514	ENGRAPADORA ELITE METALICA 1/2 TIRA
21032515	BOTIQUIN BASICO DE PRIMEROS AUXILIOS
21032516	STICKERS PARA FUNDAS DE MESAS
21032517	PINZA POLLO 12" / 1.2 MM
21032518	SQUEEGEE METALICO 55CM
21032519	BALDE ESCURRIDOR 35QT RUBBERMAID
21032520	BANDEJA PARA RACK VENTILADA 19" X 7.48"
21032521	REGLETA ELECTRICA MULTICONTACTO
21032522	ESTATICO DE MAMPARA .150X.200
21032523	BOTELLA DISPENSADORA 880 ML, 29.7 OZ
21032524	CINTA EMPAQUE 65268 TRANSP 48MMX
21032525	CLIP 100014240 MAE STD 100 PZAS
21032526	MOSQUICIDA CYBOR LISTO PARA USAR
21032527	IBUPROFENO 400 GM. (BLISTER 10 U.)
21032528	JABON BOLA XTRA MULTIACCION 340 GRS. (3
21032529	PAPELERA METALICA 3 BANDEJAS
21032530	CORRECTOR TIPO LAPIZ LIQUID PAPER
21032531	DESTORNILLADOR PLANO CRY 1/8X4" TACTIX 2
21032532	DESTORNILLADOR PLANO 1/4"X 12" CUSHION G
21032533	WIPE DE TELA
21032534	WIPE DE HILO
21032535	LIMPIADOR MANO 14OZ GOJO 1141-12/1109-12
21032536	CINTA AISLANTE 3/4"X20.1MTS 3M 33+
21032537	BROCA TITANIO 3/16" MILWAUKEE 48892209
21032538	ANCLA PLASTICA 7MMX1.1/2"
21032539	JABON DE MANOS SPICED APPLE
21032540	CINTA EMP 255 TRANS 6 PACK 48X50
21032541	NYLON PARA TRIMMER 0.095 100' WLMH95
21032542	LLAVE ALLEN 1.5-8 MM LARGA CRAFTSMAN
21032543	LLAVE ALLEN 1/16" - 1/4" CRAFTSMAN S/9
21032544	CINTA TEFLON 3/4"X12MTS AZUL
21032545	SIERRA PARA MARCO BIMETAL DIENTE ORDI
21032546	LLAVE MIXTA 1/2" CON RATCHET TACTIX
21032547	LLAVE MIXTA 17MM CON RATCHET TACTIX
21032548	AGUA DESTILADA GALON
21032549	CORTINA PLASTICA REFORZADA DE 8" QCP
21032550	SELLO DE HULE.
21032551	CAJA JUMBO 32 LTS 47X37X32
21032552	PARRILLA CON BANDEJA INOX 430
21032553	CAJA PLASTICA 3 ESPACIO STECK
21032554	MAMPARA ACRILICA 73.5CM X52.5CM
21032555	ENVASE HERMETICO CON TAPA ROSCA 1.0L
21032556	BANDEJA CON RODILLO 9" KVI00
21032557	BROCHA DE CERDA 4" MANGO DE MADERA
21032558	BROCHA DE CERDA 2" MANGO DE MADERA
21032559	ANTI-INCRUSTANTE BP-20 P/CALDERA
21032560	ANTICORROSIVO BP-125 P/CALDERA
21032561	REMISION DE TRASLADO
21032562	BASURERO PEDAL 23GLN PLSTICO
21032563	PICHEL DE MEDIDA DE POLICARBONATO 1LTS
21032564	ESPUMADERA REDONDA 7 PULGADAS
21032565	ESCALERA:DE;5;PELDAÑOS
21032566	PEGAMENTO EN TUBO 20GRS SUPER BONDER
21032567	LIJA PARA HIERRO 150
21032568	CEPILLO DE ALAMBRE
21032569	DISCO PARA ACERO INOX 4.1/2" RASTA
21032570	MANGUERA REFORZADA 1/2"X50P
21032571	TERMO PARA VACUNAS CON 4 PIGÜINOS
21032572	ESPUMADERA REDONDA 5 PULGADAS
21032573	BOTELLA:PLASTICA;DE;850ML;7.4X24.5CM
21032574	RODILLO PARA PINTAR 4" MICROFIBRA TACTIX
21032575	BROCHA DE CERDA 3" MANGO DE MADERA
21032576	DISCO LIJA ZIRCONIO 4.1/2" ARTICULADO
21032577	CEPILLO DE COPA 5/8" MULTIROSCA
21032578	PALA PARA BASURA CON MANGO 3M
21032579	HIDROLAVADORA 2700PSI 220V MONOFASICO
21032580	OXIMETRO DE PULSO
21032581	PLIEGOS PAPEL BOND B-20 30*40
21032582	PAPEL BOND T/C DISCOVERY  B-20
21032583	SOBRES T/ OFIICIO B-20  BLANCO
21032584	SOBRES TAMAÑO CARTA BLANCOS
21032585	ABANICO:DE;PISO;METAL;ZENIT;20"
21032586	MINI KIT DE HERRAMIENTAS DESARMADORES
21032587	SOBRE CURVO 100X50 ACERO INOX
21032588	SOBRES CON VENTANILLA OFICIO
21032589	FOLDER TAMAÑO CARTA EXECUTIVE
21032590	LIBRO ORDER BOOK
21032591	POST- IT 3X3" DE 100 NEON
21032592	CLIPS JUMBO NIQUELADO
21032593	ENGRAPADORA BOSTICH B-400 ( MED )
21032594	PERFORADOR DE 2 AGUJEROS
21032595	TIJERA DE 7" 3M
21032596	SACAGRAPAS AZTEC
21032597	CAJA DE FASTENER DE 8CM
21032598	ALMOHADILLA ARTLINE #1 AZUL
21032599	CAJA DE TACHUELAS
21032600	CORRECTOR T/LAPIZ STUDMARK
21032601	BORRADOR STAEDLER B20
21032602	CINTA TRANSP. 3M 3 / 4 NO 600
21032603	CINTA 3M # 500 DE 3/4"
21032604	TIRRO SCOTHC DE 3/4
21032605	CINTA TRANSP 2"X25 MTS 3M
21032606	DESENGRASANTE 4X1 GAL
21032607	LAPICEROS BIC NEGRO
21032608	LAPICEROS BIC ROJOS
21032609	LAPIZ #2 STADLER
21032610	MARCADOR RESALTADOR ARTLINE 660 AMARILLO
21032611	MARCADOR RESALTADOR ARTLINE 660 VERDE
21032612	MARCADOR RESALTADOR ARTLINE 660 CELESTE
21032613	MARCADOR RESALTADOR ARTLINE 660 ROSADO
21032614	PLUMON PERMANENTE ART 90 AZUL
21032615	PLUMON PERMANENTE ART 90 NEGRO
21032616	PLUMON PERMANENTE ART 90 ROJO
21032617	PLUMON PERMANENTE BIC VERDE
21032618	PLUMON PARA PIZARRA BIC AZUL
21032619	PLUMON PARA PIZARRA BIC NEGRO
21032620	CALCULADORA CASIO  DE 12 DIG
21032621	TIRRO DE 2"X 40 3M
21032622	RESALTADOR ARTESCO ROSADO
21032623	RESALTADOR ARTESCO AMARILLO
21032624	RESALTADOR ARTESCO NARANJA
21032625	RESALTADOR ARTESCO VERDE
21032626	GAFETE MOTORISTA PC 8.5X5.5CMS
21032627	CINTA AISLANTE INDUSTRIAL 20MX19MM
21032628	ORGANIZADOR PARA ESCOBAS Y TRAPEADORES
21032629	VITAMINA D 3 2000
21032630	VITAMINA C 1000 MG
21032631	ASPIRINAS 100 MG
21032632	HISOPOS ESTERILES
21032633	CURITAS REDONDAS
21032634	MOCHILA PARA LAPTOP LATITUDE
21032637	BROCA:TITANIO;5/32";MILWAUKEE;48892207
21032644	TRAMPA:GRASA;PEQUEÑA;INOX;0.20X0.30
21032645	ACRILICO:LECH;3MM;1.80X0.63X1.13;IMP;UV
21032646	ACRILIC:LECHOSO;PEDEST;3M;0.80X0.60X0.48
21032647	IMPRESIÓN:UV;5MM;CORTE;CN;0.98X1.41X1.38
21032648	ADHESIVO:ALTA;MATE;3MM;0.40X0.40X0.16
21032652	MAMPARA:DE;0.40;DE;ALTO;P/MUEBLES;LAVADO
21032653	CAJA:P/HERRAMIENTAS;PLASTICA;C/RODO;37"
21032670	PASTILLA VERDE DETERGENTE COMBI
21032682	CANASTA:P/ALITAS;0.40*0.30*0.05;CM
21032683	TABLA:DE;PICA;12X18;AMARILLA;WINCO
21032687	MARCADOR PERMANENTE BISELADO ROJO DELI
21032688	REPUESTO P/MARCADOR PIZARRA PILOT NEGRO
21032689	BRACKET:INCLINACION;TV;50;A;70;125-204
21032705	CUCHILLO:DE;CHEFF;CON;MANGO;10;PULGADAS
21032706	HACHA:DE;ACERO;INOX;PUÑO;NEGRO
21032710	SEPARADORES DE 12 DIV(MENSUAL) T/CARTA
21032711	CUCHILLO PLASTICO DESECHABLE (25 U.)
21032712	FILTRO PARA CAFETERA 100X1
21032713	BANDEJA DUROPORT (50 U.)
21032714	BOLSA ZIPLOC 17.7X19.5CMS MEDIANA (1X25)
21032715	SERTAL COMPUESTO (BLISTER 10 U.)
21032716	ACETAMINOFEN 500 MG. 100 U.
21032717	WINASORB 500 MG. (12 U.)
21032718	CAFIASPIRINA 12 U.
21032719	DICLOFENACO SODICO 50MG 50 TABLETAS
21032720	COFAL FUERTE POMADA, 120 GRS.
21032721	DICLOFENACO SODICO 50MG. (100U)
21032722	ACETAMINOFEN MARCA WASHINGTON (10 UN)
21032723	ALGODON SUPERIOR ROLLO MEDIA LIBRA
21032724	ALEVE EXTRA FUERTE, 220 MG. 12 UNIDADES
21032725	DORIVAL LIQUID-GELS 12 CAPSULAS
21032726	PANADOL EXTRA FUERTE (100 U.)
21032727	PANADOL EXTRA FUERTE 500 MG. 16 TABLETAS
21032728	TYLENOL EXTRAFUERTE (DISPENSADOR 50 U.)
21032729	PANADOL MULTI-SINTOMAS 500 GM. 16 TAB.
21032730	DICLOFENACO POTASICO 50 MG. (BLISTER)
21032731	PANADOL MUJER 16 TABLETAS
21032732	ALKA SELTZER 12 TABLETAS
21032733	ALKA SELTZER AD 12 TABLETAS
21032734	PEPTO BISMOL 118 ML.
21032735	PEPTO BISMOL 24 TABLETAS MASTICABLES
21032736	SAL ANDREWS NATURAL/CLASICA 12 SOBRES
21032737	ALKA SELTZER (DISPENSADOR DE 60 U.)
21032738	MAALOX BLISTER
21032739	CURITAS IMPERMEABLE 20 U.
21032740	MICROPORE NEXCARE 1" X 10 YDS. BLANCO
21032741	NEUMONIL FORTE NF 12 TABLETAS
21032742	TABCIN "DIA" LIQUID GEL 12 U.
21032743	TABCIN-GRIPE Y TOS EFERVESCENTE 12
21032744	TABCIN TOS LIQUID GELS (12 U.)
21032745	NEUMONIL G CAJA (12X1)
21032746	ALCOHOL MEDICINAL 88Â° 120ML. EN SPRAY
21032747	ALCOHOL ETILICO MEDICINAL 88° (1/2 LITRO
21032748	ALCOHOL ETILICO MEDICINAL 88Â° 120 ML.
21032749	ALCOHOL ETILICO 95% GALON
21032750	ALCOHOL EN GEL GALON
21032751	ALCOHOL EN GEL 450 ML
21032752	ALCOHOL ETILICO LITRO
21032753	BACTID 30 ML
21032754	ADVIL 200 MG. 12 TABLETAS
21032755	TOALLA SANITARIA KOTEX/SABA C/ALAS
21032756	VISINA, GOTAS OFTALMOLOGICAS
21032757	JERINGA 5 ML
21032758	NAUSEOL (BLISTER 10U)
21032759	YODOCLORINA BLISTER 10U
21032760	VITAFLENACO 25 MG. 15T.
21032761	VENDA DE GASA 5 CM.X5M.
21032762	VENDA ELASTICA 2X5
21032763	GASA ESTERIL 2X2 YARDA MARCA EQUIPO MED
21032764	LENTES PLASTICOS PROTECTORES
21032765	CINTA AMARILLA PRECAUCION.
21032766	BROCHA 1"
21032767	AUTO:LAVADO;SIN;AGUA;ATOMIZADOR;720ML
21032768	BOLSA TRANSPARENTE 5LBS 100U
21032769	ESPATULA DE 3" ACERO
21032770	BROCHA 4"
21032771	FELPA 9 X 3/4
21032772	MANERAL CON RODILLO 9
21032773	SUPER GLUE
21032774	LIJA DE AGUA 150 3M (HOJA)
21032775	LIJA DE AGUA 100 3M (HOJA)
21032776	CINCHO PLASTICO DE 6" COLOR NATURAL
21032777	CINCHO PLASTICO DE 10"
21032778	JERINGA DE 3 CM.
21032779	ROLLOS TEFLON 1"
21032780	CINTA AISLANTE 60 TEMPLEX
21032781	CINTA DE AISLAR 33+SCOTCH
21032782	WD-40 11OZ
21032783	LIJA AGUA 180 IMPERIAL
21032784	LIJA DE AGUA 600
21032785	AMBIENTAL GLADE AEROSOL LAVANDA
21032786	AMBIENTAL GLADE VARIOS AROMA.
21032787	AROMATIZANTE GLADE ELECTRICO APARATO
21032788	PASTILLA AROMATIZANTE PARA BAÑO
21032789	DESODORANTE PASTILLA PATO PURIFIC
21032790	REPUESTO AROMATIZANTE ELECTRICO ACEITES
